composer_name	nationality	birth	death
Ivan Shmarygin	Russian	1995	-
Louis Brassin	Belgian	1840	1884
Malay Folk Songs	unknown	unknown	unknown
Alberto Soriano Thebas	Argentine	1915	1981
Louis Glass	Danish	1864	1936
Barbara Strozzi	Italian	1619	1677
Jef Tinel	Belgian	1885	1972
Jean-Baptiste Duvernoy	French	1802	1880
George Washbourne Morgan	British	1823	1892
Elaine Fine	American	1959	-
Alfred Jaëll	Austrian	1832	1882
Joan Baptista Pujol	Spanish	1835	1898
Julius Klengel	German	1859	1933
William Augustus Montgomery	British	1872	1948
Ciprian Porumbescu	Romanian	1853	1883
Bernhard Eduard Müller	German	1842	1920
Andreas Hammerschmidt	German	1610	1675
Cuthbert Edward Clark	British	1869	1953
Ludwig Berger	German	1777	1839
Joachim Andersen	Danish	1847	1909
Walter Ross	American	1936	unknown
Károly Aggházy	Hungarian	1855	1918
William Robert Knox	Australian	1861	1933
Stanislas Chomentowski	unknown	unknown	unknown
Will H. Vodery	American	1885	1951
Maurice Decourcelle	French	1815	unknown
Arling Shaeffer	American	1859	1943
Adolf Schulz-Evler	Polish	1852	1905
Heather W. Reichgott	American	1979	-
John Blow	British	1649	1708
Franz Bendel	Czech	1833	1874
W. C. Handy	American	1873	1958
Edward MacDowell	American	1860	1908
Henri Cramer	German	1818	1877
Edward Bunnett	American	1834	1923
Costantino De Crescenzo	American	1847	1911
Paul Henrion	French	1817	1901
Tom V. Lawrie	unknown	unknown	unknown
Leopold Suchsland	Austrian	1871	1943
Andrea Maria Ottavini	Filipino	1995	-
Giovanni Marco Rutini	Italian	1723	1797
Nikolay Amani	Russian	1872	1904
Léon Delcroix	Belgian	1880	1938
Felix Draeseke	German	1835	1913
Darius Milhaud	French	1892	1974
Aleksandr Alyabyev	Russian	1787	1851
Henry Rowley Bishop	British	1786	1855
Nikolay Tcherepnin	Russian	1873	1945
Jeff Fallen	American	1954	-
Roman Statkowski	Polish	1859	1925
Ferdinand Quentin Dulcken	British	1837	1901
Robert Goldbeck	German	1839	1908
Antoine Della-Tolla	unknown	unknown	unknown
Sergei Srebdolskii	Russian	1850	1919
Christian Junck	unknown	1991	-
Ivan Caryll	Belgian	1861	1921
Charles Mawson-Marks	German	1727	1777
George Frederick Pinto	British	1785	1806
Ernesto Nazareth	Brazilian	1863	1934
Theodore Moelling	German	1788	1864
Frederick Shepherd Converse	American	1871	1940
Roberto Novegno	unknown	1981	-
Franz Krommer	Austrian	1759	1831
Johann Pachelbel	German	1653	1706
Johann Philipp Kirnberger	German	1721	1783
Hans Sitt	unknown	1850	1922
Giulio Bentivoglio	unknown	1864	1939
Louis Bödecker	German	1845	1889
Vasily Vrangel	Russian	1862	1901
Bernardo Corsi	Italian	1570	1619
Luis Félix Parodi Ortega	unknown	unknown	unknown
Marceli Madejski	Polish	1822	1886
Samuil Feinberg	Russian	1890	1962
Rodolphe Berger	American	1864	1916
Everett Almound Johnston	unknown	unknown	unknown
