composer_name	nationality	birth	death
Jacques François Gallay	French	1795	1864
Charles Zeuner	American	1795	1857
Henry Maylath	Austrian	1827	1883
Carl Joseph Brambach	German	1833	1902
Daniel Speer	German	1636	1707
Edwina Seeligson	unknown	unknown	unknown
Francesco Massimi	Italian	1906	2004
Meliton George Soupelin	unknown	unknown	unknown
John Christopher Smith	British	1712	1795
Carl Véley	unknown	unknown	unknown
Ivan Shishov	Russian	1888	1947
Gaston Lemaire	unknown	1854	1928
Teresa Carreño	Venezuelan	1853	1917
Henriette-Caroline Mennechet de Barival	French	1815	1861
András Derecskei	unknown	1982	-
Sigfrid Karg-Elert	German	1877	1933
Maurice Baron	unknown	1889	1964
Joaquín Montero	Spanish	1740	1815
Aleksey Stanchinsky	Russian	1888	1914
Friedrich Zikoff	German	1824	1877
Ottavio Festa	Italian	1788	1854
Ottmar Dressler	unknown	1826	1914
George Muder	unknown	unknown	unknown
Gaston Sarreau	French	1850	1935
Marcelo Tupinambá	Brazilian	1889	1953
Wilfried Lingenberg	unknown	unknown	unknown
Ramon Aquabella	unknown	1854	1930
Émile Guimet	French	1836	1918
Erik Meyer-Helmund	German	1861	1932
John Valentine Eppel	unknown	1871	1931
Konstanty Paschalski	Polish	1859	1924
Charles William Glover	British	1806	1863
Anton Urspruch	German	1850	1907
Hjalmar Borgstrøm	Norwegian	1864	1925
Edouard Chavagnat	unknown	unknown	unknown
Robert Hampton	American	1890	1945
W. Herbert Lanyon	British	1862	unknown
Robert Schumann	German	1810	1856
Camille Schubert	French	1810	1889
Enrique Granados	Spanish	1867	1916
Joseph Schiffmacher	French	1827	1888
Jean-Baptiste Lully	French	1632	1687
August Heinrich von Weyrauch	German	1788	1865
Abram Kimmell	unknown	unknown	unknown
Arthur H. Bird	American	1856	1923
Maurice Emmanuel	French	1862	1938
Marcelle Soulage	French	1894	1970
Ernst Pauer	Austrian	1826	1905
Ludwig Sauer	German	1861	1940
Ernő Dohnányi	Hungarian	1877	1960
Johann Krieger	German	1651	1735
Michel Zurluth	unknown	unknown	unknown
Werner Wehrli	Swiss	1892	1944
Amy Woodforde-Finden	Chilean	1860	1919
Charles Hunter	American	1876	1906
Stanisław Moniuszko	Polish	1819	1872
Davud Vesnić	unknown	unknown	unknown
Lew Pollack	American	1895	1946
Franz Theodor Cursch-Bühren	German	1859	1908
Heinrich Warnke	German	1800	1833
Louis Tocaben	unknown	1865	1943
Franciszek Brzeziński	Polish	1867	1944
Emanuel Moór	Hungarian	1863	1931
Jan Antonin Losy	Bohemian	1650	1721
Françis Coye	American	1947	unknown
Friedrich Ludwig Aemilius Kunzen	German	1761	1817
Mykhaylo Verbytskyi	Polish	1815	1870
Julius Lenzberg	American	1878	1956
Paul de Maleingreau	Belgian	1887	1956
Martin Ludenhoff	Russian	1970	-
R. L. Seamon	Spanish	1974	-
Edmond Dédé	American	1827	1903
Johannes Haarklou	Norwegian	1847	1925
Joseph Kreutzer	German	1790	1840
Paul Marcou	Canadian	1989	-
Gerald Tyrwhitt	Indian	1767	1848
John Stainer	British	1840	1901
Aaron Copland	American	1900	1990
Jan Sára Dybicz	American	1998	-
Erika Bodom	Norwegian	1861	1942
Gustav H. Luebert	American	1883	1922
Atai Ogonbaev	unknown	1904	1949
Wilhelm Kalliwoda	German	1827	1893
Charles-Augustin Collin	French	1865	1938
Claude Debussy	French	1862	1918
Carl Gänschals	German	1847	1906
Denis G. Labrecque	unknown	1996	-
William Byrd	British	1543	1623
Albert Hermann Dietrich	German	1829	1908
Carl Wagner	unknown	unknown	unknown
Jean Cras	French	1879	1932
Adam Geibel	American	1855	1933
Antonius Johannes Bouman	unknown	1855	1906
Christian Teilman	Norwegian	1843	1909
Hans Riess	unknown	unknown	unknown
William Duncombe	British	1730	1810
Ernest Moret	unknown	unknown	unknown
Dick Koomans	unknown	unknown	unknown
Jean Eudes Masy	unknown	unknown	unknown
Marius Carman	unknown	1850	1911
Giulio Cesare Barbetta	Italian	1540	1603
D. Rubini	unknown	unknown	unknown
Tamás Beischer-Matyó	Hungarian	1972	-
Julius Emil Leonhard	German	1810	1883
Stanislas Verroust	French	1814	1863
Marion Bauer	American	1882	1955
Tillmann Strater	German	1870	1929
Florent Schmitt	French	1870	1958
Charles Kinkel	unknown	1832	1907
Cécile Chaminade	French	1857	1911
Johann Philipp Eisel	unknown	1698	1763
J. Alexander Silberberg	unknown	unknown	unknown
Filippo Capocci	Italian	1811	1898
Walter C. Stier	unknown	1868	1934
Edgardo Del Valle de Paz	Egyptian	1861	1920
Niels Johannes Legarth Iversen	unknown	1953	-
William Wallace Gilchrist	American	1846	1916
Edward Stefan Łodwigowski	Polish	1815	1895
Hans von Bülow	German	1830	1894
Karl Roeder	German	1860	1933
Juan Parga	unknown	1843	1899
Josef Bastl	unknown	1868	1932
Ernest Austin	British	1874	1947
Otto Bonnell	unknown	unknown	unknown
Christian Sinding	Norwegian	1856	1941
Emmanuel Chabrier	French	1841	1894
Roderich Bass	Czech	1873	1933
Henri Kowalski	French	1841	1916
Henry Cowell	American	1897	1965
Paul Corder	British	1879	1942
Stephen Hale Alonzo Marsh	British	1805	1888
Friedrich Wilhelm Marpurg	German	1718	1795
Sebastian Bensen Schlesinger	unknown	1837	1917
Emile Schwarzbach	unknown	unknown	unknown
Pierre-Octave Ferroud	French	1900	1936
Josef Suk	Bohemian	1874	1932
Felix Firmiana Wot	unknown	unknown	unknown
August Gottlob Fischer	German	1656	1746
Vasily Kalafati	Russian	1869	1942
Theodore Oesten	German	1813	1870
Franz Lauska	Czech	1764	1825
Wolfgang Amadeus Mozart	Austrian	1756	1791
Michael Luchtan	American	1977	-
Gottfried Heinrich Stölzel	German	1690	1749
Wilhelm Krüger	German	1820	1883
Adolf Ruthardt	German	1849	1934
Benjamin Ziegler	unknown	unknown	unknown
Frederic Nicholls Löhr	British	1871	1943
Joseph Alary	Italian	1814	1891
Michele Esposito	Italian	1855	1929
Henry-Noël Lepin	unknown	1700	1800
Eugène von Volborth	unknown	unknown	unknown
Nicholas Charles Bochsa	French	1789	1856
Florentio Maschera	Italian	1541	1584
Émile Tavan	French	1849	1929
Levon Chaushyan	Armenian	1946	2012
John Field	Irish	1782	1837
Jean Louis Nicodé	German	1853	1919
Maurice Besly	British	1888	1945
Aleksandr Krein	Russian	1883	1951
Ernest Kafka	unknown	unknown	unknown
Ludwig Siegfried Meinardus	German	1827	1896
Ferdinand Wagner	unknown	unknown	unknown
Edgar Tinel	Belgian	1854	1912
Stanisław de Kontski	unknown	unknown	unknown
Carl Nielsen	Danish	1865	1931
Martin Twycross	unknown	unknown	unknown
Tommaso Giordani	Irish	1730	1806
Ludwik Morelowski	German	1810	1834
Édouard Marie Ernest Deldevez	French	1817	1897
Lili Boulanger	French	1893	1918
J. Russel Robinson	American	1892	1963
Matthias Holst	Russian	1769	1845
Ignacio Massun	unknown	1948	unknown
Franciscus Bossinensis	Italian	1509	unknown
Hans Koessler	German	1853	1926
Mykola Vilinsky	Ukrainian	1888	1956
Matthias Tscharn	unknown	unknown	unknown
Chas. J. Newman	American	1967	-
Andrea Luchesi	Italian	1741	1801
Heinrich Henkel	German	1822	1899
Graham Peel	British	1877	1937
H. Bogé	unknown	1906	unknown
Willem de Fesch	Dutch	1687	1761
Gustaw Roguski	Polish	1839	1912
Ferdinand Praeger	British	1815	1891
Paul Hindemith	German	1895	1963
Irving Berlin	Russian	1888	1989
Claude Torrent	unknown	unknown	unknown
William H. Tyers	American	1876	1929
Pavel Schlözer	Russian	1840	1898
Giuseppe Concone	Italian	1801	1861
Luis Milán	Spanish	1500	1561
Zez Confrey	American	1895	1971
Felipe Villanueva	Mexican	1862	1893
Carl Gottlieb Hering	unknown	1766	1853
Vasily Kalinnikov	Russian	1866	1901
Charles Wakefield Cadman	American	1881	1946
Alphons Czibulka	Hungarian	1842	1894
Guillaume Lekeu	Belgian	1870	1894
Humphrey John Stewart	American	1856	1932
Toivo Kuula	Finnish	1883	1918
Alexander Fesca	German	1820	1849
Mathilde Kralik	Austrian	1857	1944
H. D. Ramenti	unknown	1863	1931
Jan Dismas Zelenka	Czech	1679	1745
Bohuslav Martinů	Czech	1890	1959
Max d' Ollone	French	1875	1959
Grigor Iliev	Bulgarian	1977	-
Alexander Sokolov	unknown	unknown	unknown
Theodor Döhler	German	1814	1856
Eastwood Lane	American	1879	1951
Henry Bollman	unknown	unknown	unknown
Otto Stoll	Swiss	1849	1922
Alexander von Glaesz	unknown	1848	1904
Robin Schreiber	unknown	unknown	unknown
Constantin von Sternberg	Russian	1852	1924
Roman Turovsky-Savchuk	American	1961	2011
Peter Pinoy	unknown	unknown	unknown
Bruno Huhn	British	1871	1950
Arthur Nevin	American	1871	1943
Bruno Vlahek	Croatian	1986	-
Henri Collet	French	1885	1951
Armas Maasalo	Finnish	1885	1960
Louis Bonnel	unknown	unknown	unknown
Kohei Kondo	Japanese	1965	-
Paul Peuerl	German	1570	1625
Sean Franklin Brown	unknown	unknown	unknown
Émile Mathieu	Belgian	1844	1932
Joaquín Larregla	Spanish	1865	1945
E. K. Nye	unknown	unknown	unknown
Alois Götz	unknown	unknown	unknown
Geoffrey Turton Shaw	British	1879	1943
Jonathan Jackson	unknown	unknown	unknown
Charles Neustedt	unknown	1838	1908
Volfgangs Dārziņš	Latvian	1906	1962
Jules Domerc	unknown	unknown	unknown
Samuel Scheidt	German	1587	1654
Sydney Baynes	British	1879	1938
João Cândido Dovicchi	unknown	unknown	unknown
Juventino Rosas	Mexican	1868	1894
August Bungert	German	1845	1915
Jorge Calleja	Mexican	1971	-
Stephan Beneking	unknown	unknown	unknown
Alfonso Broqua	Uruguayan	1876	1946
Charles Gilbert Spross	American	1874	1961
Georg von Petersenn	German	1849	1930
Julius Eichberg	American	1824	1893
Anton Arensky	Russian	1861	1906
Adolf Huber	German	1872	1946
C. S. DeLano	unknown	unknown	unknown
Massimo Di Gesu	Italian	1970	2018
Charles Hallé	German	1819	1895
Gustav Jenner	German	1865	1920
Teo Vincent IV	unknown	unknown	unknown
Vasily Sapelnikov	Russian	1867	1941
Sergey Yuferov	Russian	unknown	unknown
George Grothe	unknown	1822	1876
Jean Schwartz	American	1878	1956
Henri Logé	French	1854	1912
Albert Clément	unknown	1875	1911
Carlos Salzedo	French	1885	1961
Herbert Arthur Wheeldon	unknown	1864	1923
Van Veachton Rogers	unknown	unknown	1933
Prince of Prussia Louis Ferdinand	German	1772	1806
E. Clérambault	unknown	unknown	unknown
Helena Lopuska	unknown	1887	1920
Jules Cohen	unknown	unknown	unknown
George Alexander Osborne	Irish	1806	1893
Shiqi Geng	unknown	unknown	unknown
Robert Nathaniel Dett	Canadian	1882	1943
Louis James Alfred Lefébure-Wély	French	1817	1869
Arthur Lourié	American	1892	1966
Josef Drahlovský	Czech	1847	1926
Luka Demarin	unknown	unknown	unknown
Virgilio Ranzato	Italian	1883	1937
Ernest Bucalossi	Italian	1859	1933
Paul Fischer-Weber	German	1868	1938
Eugène Nollet	unknown	1828	1904
Harry Brooks Day	unknown	unknown	unknown
Xaver Carlier	unknown	1862	1894
Arcady Dubensky	unknown	unknown	unknown
Joseph Schuster	German	1748	1812
William J. Kirkpatrick	American	1838	1921
Bruce Steane	British	1866	1938
Boleslav Grodzky	unknown	1865	1923
Thomas Tomkins	British	1572	1656
Rohan Joshi	Belgian	1450	1521
José Saliby	unknown	unknown	unknown
Johann Wenzel Kalliwoda	Czech	1801	1866
Xavier Shuang Xu	unknown	1988	unknown
Andrew Emery Curtis Schartmann	unknown	1984	unknown
Alexandre Croisez	French	1814	1886
Karl Hess	unknown	unknown	unknown
Ernest Zoeller	unknown	1869	1904
Joseph Hallman	American	1979	-
Osmán Pérez Freire	Chilean	1880	1930
Victor Ewald	Russian	1860	1935
Hermann Schröder	unknown	1843	1909
Andreas Streicher	German	1761	1833
Michał Bergson	Polish	1820	1898
Charles René	unknown	unknown	unknown
Mel Bonis	French	1858	1937
Ernő Lányi	Hungarian	1861	1923
Vincenzo Manfredini	Italian	1737	1799
Louis Maas	unknown	unknown	unknown
Georg Joseph Vogler	German	1749	1814
George Hendrik Witte	Dutch	1843	1929
Wesley Octavius Forsyth	Canadian	1859	1937
Joseph O'Kelly	French	1828	1885
Heino Kaski	Finnish	1885	1957
Joseph Barnby	British	1838	1896
Jane Röckel	German	1833	1907
Egon Kornauth	Austrian	1891	1959
Samuel Lover	Irish	1797	1868
Charles-Valentin Alkan	French	1813	1888
Johann Wilhelm Wilms	German	1772	1847
Gustav Frieman	unknown	1842	1902
Valentino Donella	unknown	unknown	unknown
Wenzel Ludwig	Czech	1746	1820
Anton Eberl	Austrian	1765	1807
Harry J. Lincoln	American	1878	1937
Ulrich Nehls	unknown	unknown	unknown
Raoul Pugno	French	1852	1914
Napoléon Coste	French	1805	1883
Evan R. Murphy	unknown	unknown	unknown
Otto Klauwell	German	1851	1917
Rodrigo Vitta	Brazilian	1971	-
Giovanni Battista Candotti	Italian	1809	1876
Hans-Jürgen Karolak	unknown	unknown	unknown
Henry Déonna	unknown	unknown	unknown
Salomon Jadassohn	German	1831	1902
Jan Willem Menkveld	unknown	1964	unknown
Tarquinio Merula	Italian	1590	1665
Riccardo Pick-Mangiagalli	Italian	1882	1949
Arthur Carreras	unknown	1870	1890
Gabriel Garbet	unknown	1841	1905
Maurice Gracey	unknown	unknown	unknown
Sabrina Pena Young	unknown	unknown	unknown
Christian Wanner	unknown	unknown	unknown
James Bellak	Austrian	1814	1891
Cesario Gussago	Italian	1579	1612
Joachim Kaczkowski	Polish	1789	1829
Alexander Campbell Mackenzie	British	1847	1935
Alfred Quidant	French	1815	1893
Ottorino Respighi	Italian	1879	1936
Effie F. Kamman	unknown	1868	1933
Peter Bjuhr	unknown	unknown	unknown
John Knowles Paine	American	1839	1906
Giulio Ricordi	Italian	1840	1912
Charlotte Sohy	French	1887	1955
Eric Nguyen	unknown	unknown	unknown
Ferdinando Carulli	Italian	1770	1841
Philippe Bellenot	French	1860	1928
Joseph Hollman	Dutch	1852	1927
Mathilde Marchesi	German	1821	1913
Robert Fischhof	Austrian	1857	1918
Shin-Itchiro Yokoyama	unknown	unknown	unknown
Julián Arcas	Spanish	1832	1882
Carlos Garcia Tolsa	unknown	unknown	unknown
Santiago de Masarnau	Spanish	1805	1882
Hans Bronsart von Schellendorff	German	1830	1913
Alexandre Édouard Goria	French	1823	1860
Georges Lamothe	unknown	unknown	unknown
Leo Ornstein	unknown	unknown	unknown
Vladimir Kryukov	Russian	1902	1960
Jean-Marc Bouillet	unknown	unknown	unknown
Francesco Chirichella	unknown	unknown	unknown
Charles-Marie Widor	French	1844	1937
William Smith Rockstro	British	1823	1895
Bruno Henrique Peres	unknown	unknown	unknown
Heinrich Schulz-Beuthen	German	1838	1915
Felipe Espino	unknown	unknown	unknown
Julius Schulhoff	Austrian	1825	1898
Leonard Butler	unknown	unknown	unknown
Gizik Lifram	unknown	unknown	unknown
Georgy Konyus	Russian	1862	1933
George Lem Trombley	unknown	unknown	unknown
Hyacinthe Jadin	French	1776	1800
Aleksandr Tcherepnin	Russian	1899	1977
Grenville Dean Wilson	American	1833	1897
Johan Henrik Lorentz	unknown	1763	1818
Christoph Bach	unknown	unknown	unknown
Vincenzo Galilei	Italian	1520	1591
Gustav Lange	German	1830	1889
Luise Adolpha Le Beau	German	1850	1927
Bruno Wandelt	unknown	1856	1933
Paolo Pandolfo	Italian	1964	-
Johannes Brahms	British	1833	1897
Guillermo Quevedo Zornoza	unknown	unknown	unknown
Max Oesten	unknown	1843	1917
Alfonso Rendano	Italian	1853	1931
William H. Sherwood	American	1854	1911
Hans Seeling	unknown	1828	1862
Georgy Bazilevsky	unknown	unknown	unknown
Wilhelm Gottlieb Becker	German	1753	1813
Georges Jean Pfeiffer	French	1835	1908
Ray Lemond	British	1956	-
Henry Charles Litolff	British	1818	1891
Katharine E. Lucke	American	1875	1962
William Conrad Polla	German	1876	1939
John Stepan Zamecnik	American	1872	1953
Friedrich Wilhelm Rust	German	1739	1796
Leopold Langer	Russian	1802	1885
Louis Dumas	French	1877	1952
Franz Xaver Schnyder von Wartensee	Swiss	1786	1868
Manuel de Falla	Spanish	1876	1946
Alexander Efimoff	Russian	1991	-
Adolphe Fischer	Belgian	1850	1891
Ivan Sakavicius	unknown	unknown	unknown
Cécile Gauthiez	French	1873	1935
Richard Kügele	unknown	1850	1926
Clara Greenwood	British	1844	1931
Henry Purcell	British	1659	1695
Vincent Adler	Hungarian	1826	1871
David Price	British	1969	-
Frank D. B. Byng	unknown	1867	1939
Désirée Manns	unknown	1998	-
Ernst Köhler	Italian	1849	1907
Heinrich Hofmann	German	1842	1902
Monsieur de La Pierre	unknown	1612	1689
Karl Weigl	Austrian	1881	1949
Harvey B. Gaul	American	1881	1945
Julio Salvador Sagreras	Argentine	1879	1942
Roland Riese	unknown	unknown	unknown
Felix Arndt	Spanish	1889	1918
Martín Lazare	French	1829	1897
Luis Antonio Calvo	Colombian	1884	1945
Alexandre Rey Colaço	Portuguese	1854	1928
Emile Waldteufel	French	1837	1915
Henry W. De Camors	unknown	unknown	unknown
Joaquín Malats	Spanish	1872	1912
Georges Marty	French	1860	1908
Emil von Sauer	German	1862	1942
Robert G. Patterson	American	1970	-
Salvador Torre	Mexican	1956	-
Artie Matthews	American	1888	1958
Or Vaitzman	unknown	2006	-
Domenico Bellando	Italian	1868	1922
Giovanni Battista Casali	Italian	1715	1792
Karl Kock	unknown	1866	1892
Charles K. Herbert	British	1916	1938
Federico Vollmer	Venezuelan	1834	1901
Homer Newton Bartlett	American	1864	1956
Hermann Wenzel	German	1863	1944
John Sylvanus Thompson	American	1889	1963
Felix Swinstead	British	1880	1959
Anacleto de Medeiros	Brazilian	1866	1907
Duane Crabb	American	1890	1953
Johan Peter Emilius Hartmann	Danish	1805	1900
Pietro Pettoletti	Italian	1790	1870
Hans Engelmann	American	1872	1914
Adolphe Botte	Spanish	1823	1896
Herbert Collum	German	1914	1982
Mauro Giuliani	Italian	1781	1829
Auguste Guéroult	unknown	unknown	unknown
Gustav Lewin	German	1869	1938
Marc Blitzstein	American	1905	1964
Karl Friedrich Hering	German	1766	1853
Paul Blumenthal	American	1843	1930
Ivan Padovec	Croatian	1800	1873
Mortimer Wilson	American	1876	1932
Gaspar Sanz	Spanish	1640	1710
Antoine Scard	unknown	unknown	unknown
Félix Fourdrain	French	1880	1923
Friedrich Gernsheim	German	1839	1916
Victor Herbert	American	1859	1924
Bernhard Sekles	German	1872	1934
Emil Liebling	American	1851	1914
Aleksandr Lizogub	Ukrainian	1790	1839
Hilda Romer Murphy	unknown	unknown	unknown
Germaine Labole	unknown	1896	1940
Arthur Honegger	French	1892	1955
Michele Carafa	Italian	1787	1872
Harald Fryklöf	Swedish	1882	1919
Paul Charles Pratt	Canadian	1894	1967
Nikolay Shcherbachyov	Russian	1853	1922
František Xaver Dušek	German	1731	1799
Rémy Clavers	unknown	unknown	unknown
Ange-Marie Auzende	French	1850	1940
Karol Rathaus	German	1895	1954
Sebastián Díaz Peña	Venezuelan	1844	1926
Nicolás Ruiz Espadero	Cuban	1832	1890
József Bloch	Hungarian	1917	2009
Glauco Velásquez	Italian	1884	1914
Moshe Knoll	American	unknown	unknown
Albert Küssner	American	1861	1930
Enrico Toselli	Italian	1883	1926
Albert John Weidt	unknown	1866	1945
Franz Berwald	Swedish	1796	1868
Anthony Ferner	unknown	unknown	unknown
José Comellas	Cuban	1842	1888
Akiana Molina	Filipino	1894	1980
Lucas Trevizan	unknown	unknown	unknown
Conrad Ansorge	German	1862	1930
Aidan Lamb	unknown	unknown	unknown
Joseph Achron	American	1886	1943
Sidney Jones	British	1861	1946
Bernhard Schmid I	German	1567	1625
Sergey Taneyev	Russian	1856	1915
Daniel Eichleitner	unknown	unknown	unknown
Ignaz Seyfried	Austrian	1776	1841
Irene Varley	unknown	unknown	unknown
Anthony Verbalis	American	1945	unknown
Antonio Lotti	Italian	1667	1740
Horace Mansion	unknown	unknown	unknown
Niccolò Paganini	Italian	1782	1840
Hermann Grädener	German	1844	1929
Ludwig Thuille	Austrian	1861	1907
Jane Pickering	British	unknown	unknown
Józef Hofmann	Polish	1876	1957
Zsolt Keresztury-Albert	unknown	unknown	unknown
Johann Adolph Hasse	Italian	1699	1783
Ignacio Cervantes	Cuban	1847	1905
Mehran Badakhshan	unknown	1994	-
Alexandre Luigini	French	1850	1906
Johann Nepomuk Kafka	Bohemian	1819	1886
Georgy Rimsky-Korsakov	Russian	1965	2019
Ferruccio Busoni	Italian	1866	1924
Emil Sjögren	Swedish	1853	1918
Robert-Guillaume Casadesus	French	1878	1940
George L. Cobb	American	1886	1942
Daniel Steibelt	German	1765	1823
Michael Maybrick	British	1841	1913
Walter William Stockhoff	American	1876	1968
Ignaz Brüll	Austrian	1846	1906
British	British	1793	1876
Antoni Rutkowski	Polish	1859	1886
Albert Becker	German	1834	1899
Arseny Gladkovsky	Russian	1894	1945
Edward Lawrence Hime	unknown	unknown	unknown
Federico Guzmán Frías	Chilean	1836	1885
Georges Bull	French	1827	1903
Friedrich Seitz	German	1848	1918
Giovanni Pacini	Italian	1796	1867
Luís de Freitas Branco	Portuguese	1890	1955
Charles Drumheller	unknown	unknown	unknown
William Faulkes	British	1863	1933
Franz Liszt	Hungarian	1811	1886
Joaquín Turina	Spanish	1882	1949
Friedrich Heinrich Himmel	German	1765	1814
Emile Selmer	unknown	unknown	unknown
Klaus Jung	unknown	unknown	unknown
Hubert Ferdinand Kufferath	German	1818	1896
François Borne	French	1840	1920
Louis Vuillemin	French	1879	1929
Auguste Delacroix	unknown	unknown	unknown
Francesco Corteccia	Italian	1502	1571
Antonio Jimenez Manjón	Spanish	1866	1919
Alfredo Barili	Italian	1854	1935
Angelo Bovio	Italian	1824	1909
Pietro Andrea Dentella	unknown	1879	1964
Leo Sowerby	American	1895	1968
Richard Sahla	German	1855	1931
Isaac Albéniz	Spanish	1860	1909
Herbert Hughes	Irish	1882	1937
Jacob Rosenhain	German	1813	1894
Nodar Gabunia	Dutch	1933	2000
Gustaf Hägg	Swedish	1867	1925
C. Wöhrmann	unknown	unknown	unknown
Dietrich Buxtehude	Danish	1630	1707
Félicien David	French	1810	1876
Emil Ascher	German	1859	1922
Giselle Galos	French	1840	1924
Charles Kreith	unknown	1746	1803
Victor Dolmetsch	unknown	unknown	unknown
Jakob Blied	German	1844	1884
Matteo Falloni	unknown	1969	unknown
Woldemar Loukine	unknown	unknown	unknown
Arthur de Greef	Belgian	1862	1940
Henri-Joseph Taskin	French	1779	1852
Louis Versel	unknown	unknown	unknown
Dmitry Ponomareff	unknown	1973	unknown
John Spencer Camp	American	1858	1946
Hermann Frederic Lohr	British	1871	1943
Alberich Zwyssig	Swiss	1808	1854
French Folk Songs	French	unknown	unknown
Nicolas Dalayrac	French	1753	1809
Nathaniel Basa	unknown	unknown	unknown
Heinrich Stiehl	German	1829	1886
Will Marion Cook	American	1869	1944
Cauê Muratt	unknown	unknown	unknown
Jean Reuchsel	unknown	unknown	unknown
Émile Sauret	French	1852	1920
Harry Tierney	American	1890	1965
Valentine Hemery	unknown	unknown	unknown
Martial Caillebotte	French	1853	1910
Lyle K. Neff	American	1959	unknown
Floyd J. St. Clair	American	1871	1942
José Antonio de Donostia	Spanish	1886	1956
Emil Bohnke	German	1888	1928
Jan Konopka	unknown	unknown	unknown
Georg Liebling	German	1865	1946
Christoph Rheineck	German	1748	1797
Joseph Schillinger	Ukrainian	1895	1943
Richard Kleinmichel	Polish	1846	1901
Basile Barès	French	1845	1902
Ludomir Różycki	Polish	1883	1953
Louis Gregh	French	1843	1915
Andrey Pracht	unknown	unknown	unknown
Jason L. Pachman	unknown	unknown	unknown
Melchior Franck	German	1570	1639
Marijn Hartkamp	unknown	unknown	unknown
Carlo Calvi	unknown	unknown	unknown
Ethelbert Nevin	American	1862	1901
William Dressler	British	1826	1914
Gabriel Dupont	French	1878	1914
Ture Rangström	Swedish	1884	1947
Rentarō Taki	Japanese	1879	1903
Nikolay Medtner	Russian	1880	1951
Philippe-Jacques Meyer	French	1737	1819
Albert Lavignac	French	1846	1916
Robert Fuchs	Austrian	1847	1927
Julian Raoul Besset	unknown	1939	unknown
Joseph Rudolph Schachner	German	1816	1896
Marc Roger Normand	unknown	1663	1734
Ellen Schwindt	unknown	unknown	unknown
Eugen Haile	American	1873	1933
Étienne Arnaud	French	1879	1955
Alois Dvořaček	unknown	unknown	unknown
Francesco Paolo Frontini	Italian	1860	1939
Leopold Timmer	Austrian	1758	1820
E. B. Spencer	unknown	unknown	unknown
Friedrich Kühmstedt	German	1809	1858
Francesco Calegari	Italian	unknown	1742
Mischa Levitzki	Russian	1898	1941
Howard Hanson	American	1896	1981
Ida Kleber	unknown	unknown	unknown
Amilcare Zanella	Italian	1873	1949
Vítězslava Kaprálová	Czech	1915	1940
Cyrill Kistler	German	1848	1907
Frederick Delius	British	1862	1934
Werner J.E. De Bleser	unknown	1959	-
Agathe Backer-Grøndahl	Norwegian	1847	1907
Johann Wilhelm Hässler	German	1747	1822
Henry Kleber	unknown	unknown	unknown
Ricardo Oyanarte	unknown	unknown	unknown
Charlotte Bauer	unknown	unknown	unknown
Julius Urban	unknown	1825	1879
Johann August Wilhelm Todt	German	1833	1900
Jacques Bosch	Spanish	1826	1895
Hans Huber	Swiss	1852	1921
Yury Kochurov	Russian	1907	1952
John Blitheman	British	1525	1591
Félix Le Couppey	French	1811	1887
Emma Louise Ashford	American	1850	1930
Rob Peters	unknown	1969	-
Friedrich Michel	German	1902	1973
Paul Bernard	French	1827	1879
Vincenzo Billi	Italian	1869	1938
Hubert Bauersachs	American	1882	1964
Keenan Reimer-Watts	unknown	1992	-
Hazel Gertrude Kinscella	American	1893	1960
Antoni Anson	unknown	unknown	unknown
Nikoghayos Tigranian	Armenian	1856	1951
J. Harold Henry	unknown	1885	1920
Heinrich Marschner	German	1795	1861
Florian Oborski	Polish	1839	1892
Jacob Adolf Hägg	Swedish	1850	1928
Leo Fall	Austrian	1873	1925
Wilhelm Lege	unknown	1841	1893
Walter Gieseking	French	1895	1956
Frédéric Binet	unknown	1862	1918
Axel von Kothen	Finnish	1871	1927
Theodore Latour	French	1766	1837
Nikos Skalkottas	Greek	1904	1949
Gabriel Baille	French	1832	1909
Heinrich Pfeil	German	1835	1899
Aloÿs Claussmann	French	1850	1926
Arthur Coquard	French	1846	1910
Nicolas Dezède	French	1740	1792
Henry Ketten	unknown	1848	1883
Anton Reicha	French	1770	1836
Joe Jordan	American	1882	1971
François Couperin	French	1668	1733
Charles Dancla	French	1817	1907
Charles John Grey	British	1849	1923
Eugen von Sayn-Wittgenstein	unknown	unknown	unknown
J. Charles Hess	French	1816	1900
Alfred Tofft	Danish	1865	1931
Adam Skoumal	unknown	unknown	unknown
Eduardo Souto	Portuguese	1882	1934
Émile Paladilhe	French	1844	1926
Clarence Lucas	Canadian	1866	1947
Ferdinand Beyer	German	1803	1863
Joseph Gould	American	1833	1913
Julius Röntgen	German	1855	1932
August Nölck	German	1862	1928
Dorothy Albery	unknown	1900	1980
Édouard Lalo	French	1823	1892
Gaetano Braga	Italian	1829	1907
Martin Frewer	unknown	1960	unknown
Ignaz Friedman	Australian	1882	1948
Robert Leonard	unknown	unknown	unknown
Ernst Wilhelm Wolf	German	1735	1792
Frederic Field Bullard	American	1864	1904
Boris Pasternak	Russian	1890	1960
Jean Boumard	unknown	unknown	unknown
Louis Campbell-Tipton	American	1877	1921
Euphemia Allen	British	1861	1948
Karl Wilhelm Kern	American	1874	1945
Halfdan Kjerulf	Norwegian	1815	1868
Henri Büsser	French	1872	1973
Otto Grosse	Austrian	1877	1920
Floyd Willis	British	1885	1959
Julius Lorenz	unknown	unknown	unknown
Henryk Pachulski	Polish	1859	1921
